MOTIVO_CURADORIA;CO_IES;CO_CURSO;ANO_INICIAL;ANO_FINAL;NO_IES_LISTA;NO_CURSO_LISTA;ROTULOS_CINE_NA_SERIE;ROTULOS_CANONICOS;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;221;1598939;2022;2024;UNIVERSIDADE CRUZEIRO DO SUL;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;417;1599014;2022;2024;UNIVERSIDADE CIDADE DE SÃO PAULO;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1042;1599115;2022;2024;UNIVERSIDADE POSITIVO;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;496;1599256;2022;2024;UNIVERSIDADE DE FRANCA;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1427;1599297;2022;2024;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;352;1599563;2022;2024;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1270;1600249;2022;2024;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Desenvolvimento Full Stack;Engenharia de software | Sistemas para internet;ENGENHARIA DE SOFTWARE | SISTEMAS PARA INTERNET;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1196;1615338;2023;2024;UNIVERSIDADE CESUMAR;Desenvolvimento De Aplicativos Móveis;Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação | Sistemas para internet;PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO | SISTEMAS PARA INTERNET;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;2625;1616602;2023;2024;CENTRO UNIVERSITÁRIO UFBRA;Engenharia De Computação;Ciência da computação | Engenharia de computação;CIENCIA DA COMPUTACAO | ENGENHARIA DE COMPUTACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1472;1617841;2023;2024;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Desenvolvimento De Aplicativos Móveis;Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação | Sistemas para internet;PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO | SISTEMAS PARA INTERNET;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
