MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;QT_MAT;QT_ING;QT_CONC;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2024;2336;CENTRO UNIVERSITÁRIO UNIBRAS MONTES BELOS;1613775;Análise E Desenvolvimento De Sistemas;EaD;Tecnológico;0613S01;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;0.0;5.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2019;244;CENTRO UNIVERSITÁRIO FIEO;1517265;REDES DE COMPUTADORES;EaD;Tecnológico;0612R01;Redes de computadores;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;2.0;2.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2020;244;CENTRO UNIVERSITÁRIO FIEO;1517265;REDES DE COMPUTADORES;EaD;Tecnológico;0612R01;Redes de computadores;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2023;244;CENTRO UNIVERSITÁRIO FIEO;1517265;Redes De Computadores;EaD;Tecnológico;0612R01;Redes de computadores;CINE;CINE área geral 6 Computação/TIC;0.0;2.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2024;244;CENTRO UNIVERSITÁRIO FIEO;1517265;Redes De Computadores;EaD;Tecnológico;0612R01;Redes de computadores;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2009;2575;FACULDADES INTEGRADAS SOARES DE OLIVEIRA;4370;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSAMENTO DE DADOS;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;7.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2010;2575;FACULDADES INTEGRADAS SOARES DE OLIVEIRA;4370;SISTEMAS PARA INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;6.0;0.0;6.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2011;2575;FACULDADES INTEGRADAS SOARES DE OLIVEIRA;4370;SISTEMAS PARA INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2012;2575;FACULDADES INTEGRADAS SOARES DE OLIVEIRA;4370;SISTEMAS PARA INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2013;2575;FACULDADES INTEGRADAS SOARES DE OLIVEIRA;4370;SISTEMAS PARA INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2009;275;UNIVERSIDADE DO VALE DO PARAIBA;71911;CIENCIA DA COMPUTACAO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;8.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2010;275;UNIVERSIDADE DO VALE DO PARAÍBA;71911;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;7.0;0.0;5.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2011;275;UNIVERSIDADE DO VALE DO PARAÍBA;71911;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2012;275;UNIVERSIDADE DO VALE DO PARAÍBA;71911;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2022;30;Professor Edson Antônio Velano;1614404;Sistemas Para Internet;EaD;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;1.0;2.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2023;30;UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO;1614404;Sistemas Para Internet;EaD;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;0.0;2.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2024;30;UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO;1614404;Sistemas Para Internet;EaD;Tecnológico;0613S02;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;0.0;1.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2018;3303;Faculdade Invest de Ciências e Tecnologia;1284999;REDES DE COMPUTADORES;Presencial;Tecnológico;0612R01;Redes de computadores;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2020;3303;Faculdade Invest de Ciências e Tecnologia;1284999;REDES DE COMPUTADORES;Presencial;Tecnológico;0612R01;Redes de computadores;CINE;CINE área geral 6 Computação/TIC;8.0;8.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2021;3303;Faculdade Invest de Ciências e Tecnologia;1284999;Redes De Computadores;Presencial;Tecnológico;0612R01;Redes de computadores;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2018;3333;CENTRO UNIVERSITÁRIO UNIFTEC;1427703;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;0613E01;Engenharia de software;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;1.0;3.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2019;3333;CENTRO UNIVERSITÁRIO UNIFTEC;1427703;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;0613E01;Engenharia de software;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2020;3333;CENTRO UNIVERSITÁRIO UNIFTEC;1427703;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;0613E01;Engenharia de software;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2021;3333;CENTRO UNIVERSITÁRIO UNIFTEC;1427703;Engenharia De Software;Presencial;Bacharelado;0613E01;Engenharia de software;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2019;343;CENTRO UNIVERSITÁRIO NEWTON PAIVA;1486879;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;EaD;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;5.0;5.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2020;343;CENTRO UNIVERSITÁRIO NEWTON PAIVA;1486879;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;EaD;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE;CINE área geral 6 Computação/TIC;1.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2021;343;CENTRO UNIVERSITÁRIO NEWTON PAIVA;1486879;Gestão Da Tecnologia Da Informação;EaD;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2022;343;CENTRO UNIVERSITÁRIO NEWTON PAIVA;1486879;Gestão Da Tecnologia Da Informação;EaD;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2022;349;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;1619977;Banco De Dados;EaD;Tecnológico;0612B01;Banco de dados;CINE;CINE área geral 6 Computação/TIC;2.0;3.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2023;349;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;1619977;Banco De Dados;EaD;Tecnológico;0612B01;Banco de dados;CINE;CINE área geral 6 Computação/TIC;0.0;1.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
