MOTIVO_CURADORIA;CO_CURSO;ANO_INICIAL;ANO_FINAL;QT_IES;CO_IES_LISTA;NO_IES_LISTA;NO_CURSO_LISTA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;70520;2009;2023;2;15055 | 663;CENTRO UNIVERSITARIO UNIVERSO BELO HORIZONTE | UNIVERSIDADE SALGADO DE OLIVEIRA;ANALISE DE SISTEMAS | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;71407;2009;2024;2;1818 | 891;FACULDADE  PITÁGORAS | FACULDADE ANHANGUERA DE BELO HORIZONTE | FACULDADE PITÁGORAS DE BELO HORIZONTE | Faculdade Anhanguera de Belo Horizonte;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO | Sistema De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;71937;2009;2021;2;2973 | 2974;FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS APLICADAS DE PRIMAVERA DO LESTE | FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DE PRIMAVERA DO LESTE | FACULDADES INTEGRADAS DE PRIMAVERA DO LESTE;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CST em Analise e Desenv de Sistema;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;72088;2009;2022;2;1066 | 2148;FACULDADE DE PALMAS | INSTITUTO DE ENSINO E PESQUISA OBJETIVO;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES AGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACAO | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;72259;2018;2022;2;2149 | 2168;FACULDADE CAMPO GRANDE | FACULDADE MATO GROSSO DO SUL;Gestão Da Tecnologia Da Informação | SISTEMA DE INFORMAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;72345;2009;2024;2;1464 | 17608;Centro Universitário Faep | FACULDADE MODULO PAULISTA | FACULDADE MÓDULO PAULISTA | Faculdade de Educação Paulistana;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;72533;2010;2020;2;2149 | 2168;FACULDADE CAMPO GRANDE | FACULDADE MATO GROSSO DO SUL;GERENCIAMENTO DE REDES DE COMPUTADORES;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;72607;2009;2017;2;1715 | 1790;FACULDADE DO SUL DA BAHIA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS AREA PROFISSIONAL INFORMATICA E TELECOMUNICACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;73889;2009;2014;2;1777 | 3982;FACULDADE DE TECNOLOGIA FAMEG  FAMETEC | FACULDADE METROPOLITANA DE GUARAMIRIM;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO | REDES DE COMPUTADORES;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;73891;2009;2022;2;1777 | 3982;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI | FACULDADE DE TECNOLOGIA FAMEG  FAMETEC | FACULDADE METROPOLITANA DE GUARAMIRIM;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
