NU_ANO_CENSO;CO_IES;CO_CURSO;NO_IES;NO_CURSO;CO_MUNICIPIO;NO_MUNICIPIO;REGRA;EVIDENCIA;IMPACTO;STATUS
2020;1538;1419631;CENTRO UNIVERSITARIO PROJEÇÃO;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;;;ead_concentracao_100_mais;"9 municipios; 2 zerados; 0 valores ausentes; total 227.0; maior 217.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2020;1557;1266540;UNIVERSIDADE FUMEC;SISTEMAS DE INFORMAÇÃO;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 318.0; maior 300.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2020;277;1439955;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;;;ead_concentracao_100_mais;"6 municipios; 0 zerados; 0 valores ausentes; total 172.0; maior 163.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2021;1060;1303431;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"20 municipios; 5 zerados; 0 valores ausentes; total 594.0; maior 553.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2021;124;1443889;UNIVERSIDADE DE ARARAQUARA;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"6 municipios; 1 zerados; 0 valores ausentes; total 126.0; maior 119.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2021;1538;1419631;CENTRO UNIVERSITARIO PROJEÇÃO;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 268.0; maior 263.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2021;1557;1266540;UNIVERSIDADE FUMEC;Sistemas De Informação;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 284.0; maior 265.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2021;15859;1439413;Faculdade Católica Paulista;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"14 municipios; 1 zerados; 0 valores ausentes; total 415.0; maior 380.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2021;277;1439955;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"7 municipios; 0 zerados; 0 valores ausentes; total 283.0; maior 264.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2021;277;1440022;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;Redes De Computadores;;;ead_concentracao_100_mais;"6 municipios; 1 zerados; 0 valores ausentes; total 124.0; maior 116.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2021;712;1442970;CENTRO UNIVERSITÁRIO IBMR;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"18 municipios; 9 zerados; 0 valores ausentes; total 270.0; maior 255.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;1060;1303431;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"20 municipios; 7 zerados; 0 valores ausentes; total 804.0; maior 747.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;124;1443889;UNIVERSIDADE DE ARARAQUARA;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"6 municipios; 1 zerados; 0 valores ausentes; total 163.0; maior 156.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;1255;1521177;Centro Universitário FBV Wyden;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"8 municipios; 0 zerados; 0 valores ausentes; total 509.0; maior 499.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
