NU_ANO_CENSO;CO_IES;NO_IES;N_CURSOS;N_CURSOS_ALERTA;N_CURSOS_ATENCAO;N_CURSOS_INFORMACAO;N_CURSOS_SEM_OBSERVACOES;PCT_CURSOS_COM_ALERTA;PRINCIPAIS_OBSERVACOES;TEXTO_ENTENDA
2011;3990;FACULDADE DE TECNOLOGIA ANCHIETA;1;1;0;0;0;100.0;Zero inscritos informados (1 curso);Em 2011, FACULDADE DE TECNOLOGIA ANCHIETA tem 1 curso de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
2011;3991;FACULDADE DE TECNOLOGIA SÃO MATEUS;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA SÃO MATEUS tem 1 curso de Computação na base. Nenhum tem observações.
2011;3998;FACULDADE DE TECNOLOGIA INFNET RIO DE JANEIRO;3;0;0;0;3;0.0;;Em 2011, FACULDADE DE TECNOLOGIA INFNET RIO DE JANEIRO tem 3 cursos de Computação na base. Nenhum tem observações.
2011;4;UNIVERSIDADE FEDERAL DO AMAZONAS;5;1;0;0;4;20.0;Zero inscritos informados (1 curso);Em 2011, UNIVERSIDADE FEDERAL DO AMAZONAS tem 5 cursos de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
2011;40;UNIVERSIDADE DO ESTADO DA BAHIA;3;1;0;1;1;33.3;"Zero inscritos informados (1 curso); Classificação do curso mudou ao longo dos anos (1 curso)";"Em 2011, UNIVERSIDADE DO ESTADO DA BAHIA tem 3 cursos de Computação na base. 1 fica de fora de algum gráfico e 1 tem só nota informativa. Principais observações: Zero inscritos informados (1 curso); Classificação do curso mudou ao longo dos anos (1 curso)."
2011;4006;FACULDADE DE TECNOLOGIA SENAC PELOTAS;2;0;0;2;0;0.0;Código do curso aparece em outra instituição (2 cursos);Em 2011, FACULDADE DE TECNOLOGIA SENAC PELOTAS tem 2 cursos de Computação na base. 2 têm só nota informativa. Principais observações: Código do curso aparece em outra instituição (2 cursos).
2011;4007;FATECE - FACULDADE DE TECNOLOGIA, CIÊNCIAS E EDUCAÇÃO;1;0;0;0;1;0.0;;Em 2011, FATECE - FACULDADE DE TECNOLOGIA, CIÊNCIAS E EDUCAÇÃO tem 1 curso de Computação na base. Nenhum tem observações.
2011;4008;FACULDADE DE TECNOLOGIA SENAC PASSO FUNDO;1;0;1;0;0;0.0;Inscritos iguais às vagas ou aos ingressantes (1 curso);Em 2011, FACULDADE DE TECNOLOGIA SENAC PASSO FUNDO tem 1 curso de Computação na base. 1 aparece com aviso. Principais observações: Inscritos iguais às vagas ou aos ingressantes (1 curso).
2011;4010;CENTRO UNIVERSITÁRIO METODISTA;2;0;0;0;2;0.0;;Em 2011, CENTRO UNIVERSITÁRIO METODISTA tem 2 cursos de Computação na base. Nenhum tem observações.
2011;4013;FACULDADE ANHANGUERA DE RIO CLARO;1;0;0;0;1;0.0;;Em 2011, FACULDADE ANHANGUERA DE RIO CLARO tem 1 curso de Computação na base. Nenhum tem observações.
