NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;CH_CURSO_ANO;FLAG;TITULO;GRAVIDADE;NV;EVIDENCIA;COMO_TRATAMOS
2016;11428;FACULDADE DE TECNOLOGIA ALTO MÉDIO SÃO FRANCISCO;1008004;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2016|11428|1008004;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 80 inscritos, número idêntico ao de vagas (80).;Aparece com aviso em: Inscritos nos processos seletivos.
2016;1149;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO;115376;SISTEMAS PARA INTERNET;Presencial;;;;2016|1149|115376;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 3 inscritos, número idêntico ao de ingressantes (3).;Aparece com aviso em: Inscritos nos processos seletivos.
2016;1149;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO;115428;REDES DE COMPUTADORES;Presencial;;;;2016|1149|115428;FL_MAT_CAI_A_ZERO;Matrículas caíram a zero de um ano para o outro;Alerta;3;"Em 2015 o curso tinha 15 matrículas; em 2016, informou 0; em 2017, 1.";Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2016;1149;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO;115428;REDES DE COMPUTADORES;Presencial;;;;2016|1149|115428;FL_MAT_ZERO_COM_ING;Zero matrículas, mas com ingressantes;Alerta;3;O curso informou 0 matrículas em 2016, mas registrou 1 ingressante e 7 desvinculados no mesmo ano.;Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2016;1149;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO;1169387;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Presencial;;;;2016|1149|1169387;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1153;UNIVERSIDADE CÂNDIDO MENDES;20061;CIÊNCIA DA COMPUTAÇÃO;Presencial;;;;2016|1153|20061;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1153;UNIVERSIDADE CÂNDIDO MENDES;66489;SISTEMA DE INFORMAÇÃO;Presencial;;;;2016|1153|66489;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;11563;FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - CAXIAS DO SUL;1011836;SEGURANÇA DA INFORMAÇÃO;Presencial;;;;2016|11563|1011836;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 1011836 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - CAXIAS DO SUL (2010 a 2018); CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA (2019 a 2020).";Aparece com aviso em: Evolução de um mesmo curso.
2016;11563;FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - CAXIAS DO SUL;1259028;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Presencial;;;;2016|11563|1259028;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 1259028 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - CAXIAS DO SUL (2015 a 2018); CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA (2019 a 2020).";Aparece com aviso em: Evolução de um mesmo curso.
2016;11604;FACULDADE ANGLO-AMERICANO DE CHAPECÓ;1009801;SISTEMAS PARA INTERNET;Presencial;;;;2016|11604|1009801;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 50 inscritos, número idêntico ao de vagas (50).;Aparece com aviso em: Inscritos nos processos seletivos.
2016;11604;FACULDADE ANGLO-AMERICANO DE CHAPECÓ;1011256;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2016|11604|1011256;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 30 inscritos, número idêntico ao de vagas (30).;Aparece com aviso em: Inscritos nos processos seletivos.
2016;1185;CENTRO UNIVERSITÁRIO JORGE AMADO;73887;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2016|1185|73887;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1196;CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR;57349;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2016|1196|57349;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 50 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1198;FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ;105688;SISTEMA DE INFORMAÇÃO;Presencial;;;;2016|1198|105688;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 105688 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE DE CIÊNCIAS E TECNOLOGIA DO PARANÁ (2009 a 2010); FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ (2011 a 2020).";Aparece com aviso em: Evolução de um mesmo curso.
2016;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1298919;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2016|12|1298919;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1205;FACULDADE EDUCACIONAL DA LAPA;1166010;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;EaD;;;;2016|1205|1166010;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 299 inscritos, número idêntico ao de ingressantes (299).;Aparece com aviso em: Inscritos nos processos seletivos.
2016;1205;FACULDADE EDUCACIONAL DA LAPA;1260026;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;EaD;;;;2016|1205|1260026;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 186 inscritos, número idêntico ao de ingressantes (186).;Aparece com aviso em: Inscritos nos processos seletivos.
2016;12268;FACULDADE DE TECNOLOGIA DE CRUZEIRO DO OESTE;1259891;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Presencial;;;;2016|12268|1259891;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 30 inscritos, número idêntico ao de vagas (30).;Aparece com aviso em: Inscritos nos processos seletivos.
2016;1230;CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL;19687;CIÊNCIA DA COMPUTAÇÃO;Presencial;;;;2016|1230|19687;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1256;FACULDADE DOM BOSCO;75890;SISTEMAS PARA INTERNET;Presencial;;;;2016|1256|75890;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;126;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;1073098;REDES DE COMPUTADORES;Presencial;;;;2016|126|1073098;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;126;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;1073098;REDES DE COMPUTADORES;Presencial;;;;2016|126|1073098;FL_MAT_CAI_A_ZERO;Matrículas caíram a zero de um ano para o outro;Alerta;3;"Em 2015 o curso tinha 2 matrículas; em 2016, informou 0; em 2017, 1.";Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2016;1273;FACULDADE CAMPO LIMPO PAULISTA;72031;SISTEMAS PARA INTERNET;Presencial;;;;2016|1273|72031;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 100 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
